State;Location;Date Posted;Date Collected;Sample Type;Unit;Ba-140;Co-60;Cs-134;Cs-136;Cs-137;I-131;I-132;I-133;Te-129;Te-129m;Te-132
AK;Nome;2011-04-08;2011-03-27;Air Cartridge;pCi/m3;;;;;;0.36;;;;;
AK;Nome;2011-04-10;2011-03-28;Air Cartridge;pCi/m3;;;;;;0.23;;;;;
AK;Nome;2011-04-08;2011-03-29;Air Cartridge;pCi/m3;;;;;;0.36;;;;;
AK;Nome;2011-04-08;2011-03-30;Air Cartridge;pCi/m3;;;;;;0.17;;;;;
AK;Nome;2011-04-10;2011-03-31;Air Cartridge;pCi/m3;;;;;;0.061;;;;;
AK;Nome;2011-04-10;2011-04-01;Air Cartridge;pCi/m3;;;;;;0.05;;;;;
AK;Nome;2011-04-10;2011-04-02;Air Cartridge;pCi/m3;;;;;;0.055999999999999994;;;;;
AK;Nome;2011-04-10;2011-04-03;Air Cartridge;pCi/m3;;;;;;0.08900000000000001;;;;;
AK;Nome;2011-04-10;2011-04-04;Air Cartridge;pCi/m3;;;;;;0.086;;;;;
AK;Nome;2011-04-10;2011-04-05;Air Cartridge;pCi/m3;;;;;;0.14;;;;;
ID;Boise;2011-04-04;2011-03-23;Air Filter;pCi/m3;;;0.047;0.0071;0.062;0.84;0.027999999999999997;;;;0.051
AK;Nome;2011-04-10;2011-04-05;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Oahu;2011-04-04;2011-03-23;Air Cartridge;pCi/m3;;;;;;0.81;;;;;
HI;Oahu;2011-04-04;2011-03-24;Air Cartridge;pCi/m3;;;;;;0.25;;;;;
HI;Oahu;2011-04-04;2011-03-25;Air Cartridge;pCi/m3;;;;;;0.41;;;;;
HI;Oahu;2011-04-09;2011-03-26;Air Cartridge;pCi/m3;;;;;;0.52;;;;;
HI;Oahu;2011-04-09;2011-03-27;Air Cartridge;pCi/m3;;;;;;0.27;;;;;
HI;Oahu;2011-04-09;2011-03-28;Air Cartridge;pCi/m3;;;;;;0.13;;;;;
